Suburb,Rooms,Price,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,Propertycount
Altona North,3,1405000,11.1,3025,3,1,3,655,,5132
Altona North,3,683000,11.1,3025,3,1,2,534,167,5132
Altona North,3,623000,11.1,3025,3,1,3,540,,5132
Altona North,3,720000,11.1,3025,3,2,1,0,130,5132
Altona North,3,588000,11.1,3025,3,1,1,328,118,5132
Altona North,3,710000,11.1,3025,3,1,3,540,116,5132
Altona North,4,875000,11.1,3025,3,1,4,559,169,5132
Altona North,3,700000,11.1,3025,3,1,3,554,,5132
Altona North,2,640000,11.1,3025,2,1,1,252,,5132
Altona North,4,650000,11.1,3025,4,1,4,558,,5132
Altona North,3,675000,11.1,3025,3,2,2,171,109,5132
Altona North,3,708000,11.1,3025,3,1,2,585,97,5132
Altona North,4,965000,11.1,3025,4,1,4,851,,5132
Altona North,3,680000,11.1,3025,3,1,3,551,,5132
Altona North,3,770000,11.1,3025,3,1,3,602,603,5132
Altona North,3,923000,11.1,3025,3,1,2,740,,5132
Altona North,4,693000,11.1,3025,4,2,4,315,170,5132
Altona North,3,620000,11.1,3025,5,2,2,276,100,5132
Altona North,3,728500,11.1,3025,3,1,1,531,157,5132
Altona North,3,931000,11.1,3025,3,2,1,590,160,5132
Altona North,3,988000,11.1,3025,3,1,4,715,,5132
Altona North,3,590000,11.1,3025,3,1,2,561,,5132
Altona North,2,610000,11.1,3025,2,1,2,691,,5132
Altona North,3,815000,11.1,3025,3,2,3,555,130,5132
Altona North,4,970000,11.1,3025,4,1,2,708,,5132
Altona North,4,760000,11.1,3025,4,1,3,668,,5132
Altona North,4,847500,11.1,3025,4,3,1,252,,5132
Altona North,4,1200000,11.1,3025,4,1,4,633,158,5132
Altona North,3,700000,11.1,3025,3,1,1,557,,5132
Altona North,3,625000,11.1,3025,3,1,1,536,,5132
Altona North,2,292000,11.1,3025,2,1,1,153,70,5132
Armadale,2,599000,6.3,3143,2,1,1,0,76,4836
Armadale,2,550000,6.3,3143,2,1,0,861,,4836
Armadale,3,995000,6.3,3143,3,2,2,0,100,4836
Armadale,3,1205000,6.3,3143,3,2,2,101,105,4836
Armadale,3,1939000,6.3,3143,3,2,2,296,150,4836
Armadale,1,421500,6.3,3143,1,1,0,0,,4836
Armadale,3,1870000,6.3,3143,3,1,1,217,116,4836
Armadale,2,678000,6.3,3143,2,1,2,0,,4836
Armadale,3,1918000,6.3,3143,3,2,2,0,165,4836
Armadale,2,660000,6.3,3143,2,1,1,0,,4836
Armadale,3,2050000,6.3,3143,3,2,1,205,116,4836
Armadale,2,700000,6.3,3143,2,1,2,0,,4836
Armadale,2,3625000,6.3,3143,3,2,2,0,,4836
Armadale,4,3000000,6.3,3143,4,2,2,1581,,4836
Armadale,5,1525000,6.3,3143,8,2,2,693,,4836
Armadale,3,735000,6.3,3143,3,2,1,2113,14,4836
Armadale,2,825000,6.3,3143,2,1,1,0,,4836
Armadale,3,1586000,6.3,3143,2,2,2,246,,4836
Armadale,2,645000,6.3,3143,3,1,1,0,,4836
Armadale,1,1435000,6.3,3143,2,2,1,144,107,4836
Armadale,1,280000,6.3,3143,1,1,1,0,38,4836
Armadale,1,400000,6.3,3143,1,1,1,0,,4836
Armadale,2,1780000,6.3,3143,2,2,2,0,,4836
Armadale,2,592500,6.3,3143,2,1,1,0,73,4836
Armadale,2,1210000,6.3,3143,2,1,0,249,96,4836
Armadale,4,2801000,6.3,3143,4,2,2,624,222,4836
Armadale,1,390000,6.3,3143,1,1,0,881,,4836
Armadale,3,1800000,6.3,3143,3,2,2,405,121,4836
Armadale,4,2200000,6.3,3143,4,1,2,495,163,4836
Armadale,1,324000,6.3,3143,1,1,1,0,,4836
Armadale,6,5525000,6.3,3143,5,3,4,1491,516,4836
Armadale,2,1125000,6.3,3143,3,1,2,169,,4836
Armadale,3,2250000,6.3,3143,3,3,1,301,,4836
Armadale,3,2360000,6.3,3143,3,2,0,336,,4836
Armadale,2,1900000,6.3,3143,2,2,0,207,,4836
Armadale,1,440000,6.3,3143,1,1,1,0,53,4836
Armadale,2,490000,6.3,3143,2,1,1,0,,4836
Armadale,3,2365000,6.3,3143,3,2,1,316,,4836
Armadale,3,1300000,6.3,3143,2,1,2,212,106,4836
Armadale,3,732000,6.3,3143,3,2,2,0,,4836
Armadale,2,704000,6.3,3143,2,1,1,0,74,4836
Armadale,2,620000,6.3,3143,3,1,1,0,98,4836
Armadale,3,1900000,6.3,3143,3,1,2,328,108,4836
Armadale,1,315000,6.3,3143,1,1,1,0,,4836
Armadale,1,450000,6.3,3143,1,1,1,0,,4836
Armadale,2,710000,6.3,3143,2,1,1,2471,80,4836
Armadale,2,872000,6.3,3143,2,1,1,1194,,4836
Armadale,2,598000,6.3,3143,2,1,1,0,88,4836
Armadale,3,1285000,6.3,3143,3,1,2,186,80,4836
Armadale,4,3660000,6.3,3143,4,3,2,421,,4836
Armadale,2,520000,6.3,3143,1,1,1,0,76,4836
Armadale,4,3625000,6.3,3143,4,1,2,709,251,4836
Armadale,4,4200000,6.3,3143,4,3,3,563,333,4836
Armadale,3,1101000,6.3,3143,3,1,2,103,3,4836
Armadale,3,3512500,6.3,3143,3,2,2,617,285,4836
Armadale,4,2000000,6.3,3143,4,3,4,544,,4836
Armadale,3,869000,6.3,3143,2,1,1,0,91,4836
Armadale,5,2810000,6.3,3143,5,2,2,617,,4836
Armadale,2,565000,6.3,3143,3,1,1,0,,4836
Armadale,1,567000,6.3,3143,1,1,1,0,53,4836
Armadale,2,546000,6.3,3143,2,0,0,0,,4836
Armadale,2,471500,6.3,3143,2,1,1,0,,4836
Ascot Vale,2,455000,5.9,3032,3,1,2,0,,6567
Ascot Vale,3,940000,5.9,3032,3,1,2,298,108,6567
Ascot Vale,2,467000,5.9,3032,2,1,1,0,62,6567
Ascot Vale,3,1380000,5.9,3032,3,2,2,277,174,6567
Ascot Vale,2,490000,5.9,3032,2,1,1,423,62,6567
Ascot Vale,4,1850000,5.9,3032,4,3,1,478,270,6567
Ascot Vale,3,1284000,5.9,3032,3,1,2,623,,6567
Ascot Vale,3,971000,5.9,3032,3,2,2,285,128,6567
Ascot Vale,2,710000,5.9,3032,2,1,1,214,77,6567
Ascot Vale,6,2425000,5.9,3032,6,3,2,1014,435,6567
Ascot Vale,2,750000,5.9,3032,2,1,1,226,92,6567
Ascot Vale,2,1053000,5.9,3032,2,1,1,269,109,6567
Ascot Vale,3,1377000,5.9,3032,3,1,1,417,168,6567
Ascot Vale,3,970000,5.9,3032,3,1,2,350,125,6567
Ascot Vale,2,940000,5.9,3032,2,1,1,330,,6567
Ascot Vale,2,751000,5.9,3032,2,1,1,118,79,6567
Ascot Vale,2,950000,5.9,3032,2,1,1,173,102,6567
Ascot Vale,2,685000,5.9,3032,2,1,2,228,90,6567
Ascot Vale,3,1230000,5.9,3032,4,1,2,594,148,6567
Ascot Vale,2,636500,5.9,3032,2,1,1,0,,6567
Ascot Vale,3,910000,5.9,3032,3,1,0,317,,6567
Ascot Vale,2,770000,5.9,3032,2,1,1,226,87,6567
Ascot Vale,3,960000,5.9,3032,3,2,2,229,,6567
Ascot Vale,4,890000,5.9,3032,4,1,1,300,185,6567
Ascot Vale,2,965000,5.9,3032,2,1,1,170,,6567
Ascot Vale,3,1440000,5.9,3032,3,1,1,487,131,6567
Ascot Vale,2,955000,5.9,3032,2,1,0,255,,6567
Ascot Vale,2,450000,5.9,3032,2,1,1,0,,6567
Ascot Vale,3,801000,5.9,3032,3,1,2,431,,6567
Ascot Vale,3,1000000,5.9,3032,3,2,2,440,120,6567
Ascot Vale,3,1435000,5.9,3032,3,2,2,532,147,6567
Ascot Vale,1,390000,5.9,3032,1,1,1,0,58,6567
Ascot Vale,3,1425000,5.9,3032,3,2,2,495,139,6567
Ascot Vale,4,1340000,5.9,3032,3,2,2,683,232,6567
Ascot Vale,3,955000,5.9,3032,3,1,1,263,117,6567
Ascot Vale,4,1100000,5.9,3032,4,2,5,559,195,6567
Ascot Vale,3,1255000,5.9,3032,3,2,2,308,,6567
Ascot Vale,2,432000,5.9,3032,2,1,1,0,62,6567
Ascot Vale,4,1640000,5.9,3032,4,3,2,562,204,6567
Ascot Vale,6,1430000,5.9,3032,4,2,1,461,286,6567
Ascot Vale,2,610000,5.9,3032,2,1,1,301,104,6567
Ascot Vale,3,940000,5.9,3032,3,3,1,491,127,6567
Ascot Vale,3,890000,5.9,3032,3,1,1,242,110,6567
Ascot Vale,3,1180000,5.9,3032,3,2,2,617,149,6567
Ascot Vale,4,1480000,5.9,3032,4,2,2,597,180,6567
Ascot Vale,2,1150000,5.9,3032,2,1,1,387,,6567
Ascot Vale,3,1350000,5.9,3032,3,1,3,575,,6567
Ascot Vale,5,1905000,5.9,3032,5,2,2,521,,6567
Ascot Vale,2,865000,5.9,3032,2,2,1,146,132,6567
Ascot Vale,2,705000,5.9,3032,2,2,1,113,,6567
Ascot Vale,2,442000,5.9,3032,2,1,1,0,62,6567
Ascot Vale,2,540000,5.9,3032,2,2,1,0,,6567
Ascot Vale,3,1037500,5.9,3032,3,1,2,506,110,6567
Ascot Vale,3,1050000,5.9,3032,3,2,2,318,160,6567
Ascot Vale,2,440000,5.9,3032,2,1,1,0,65,6567
Ascot Vale,2,1010000,5.9,3032,2,1,1,325,,6567
Ascot Vale,4,1430000,5.9,3032,4,2,0,418,158,6567
Ascot Vale,2,570000,5.9,3032,2,1,1,0,,6567
Ascot Vale,2,690000,5.9,3032,2,1,1,0,,6567
Ascot Vale,3,1291000,5.9,3032,3,1,2,414,,6567
Ascot Vale,3,1130000,5.9,3032,3,2,1,272,157,6567
Ascot Vale,3,1135000,5.9,3032,3,1,1,296,104,6567
Ascot Vale,4,950000,5.9,3032,4,2,1,298,147,6567
Ascot Vale,3,790000,5.9,3032,3,2,1,0,148,6567
Ascot Vale,2,390000,5.9,3032,2,1,1,1957,69,6567
Ascot Vale,4,1345000,5.9,3032,4,1,1,552,155,6567
Ascot Vale,3,1381500,5.9,3032,3,2,2,416,168,6567
Ascot Vale,3,940000,5.9,3032,3,2,2,285,172,6567
Ascot Vale,3,995000,5.9,3032,3,2,1,314,177,6567
Ascot Vale,3,1050000,5.9,3032,3,1,3,536,,6567
Ascot Vale,3,786000,5.9,3032,3,2,1,576,120,6567
Ascot Vale,2,705000,5.9,3032,2,1,3,252,108,6567
Ascot Vale,2,760000,5.9,3032,2,1,1,124,77,6567
Ascot Vale,3,487500,5.9,3032,3,1,3,0,,6567
Ascot Vale,3,1000000,5.9,3032,3,2,2,200,144,6567
Ascot Vale,4,1110000,5.9,3032,4,2,1,349,,6567
Ascot Vale,4,1300000,5.9,3032,4,1,4,664,,6567
Ascot Vale,3,1060000,5.9,3032,3,1,1,555,,6567
Ascot Vale,3,1410000,5.9,3032,3,2,2,459,,6567
Ascot Vale,3,1305000,5.9,3032,2,1,1,278,166,6567
Ascot Vale,3,932500,5.9,3032,3,2,1,254,,6567
Ascot Vale,3,965000,5.9,3032,3,1,0,216,,6567
Ascot Vale,3,1215000,5.9,3032,3,1,1,452,175,6567
Ascot Vale,2,545000,5.9,3032,2,1,2,194,71,6567
Ascot Vale,4,1705000,5.9,3032,4,2,4,598,273,6567
Ascot Vale,3,970000,5.9,3032,2,1,1,194,,6567
Ascot Vale,2,925000,5.9,3032,2,1,1,407,,6567
Ashburton,4,2650000,11,3147,4,3,2,753,399,3052
Ashburton,3,1670000,11,3147,3,2,2,599,220,3052
Ashburton,3,955000,11,3147,3,2,2,203,,3052
Ashburton,3,2050000,11,3147,3,3,4,310,315,3052
Ashburton,2,500000,11,3147,2,1,1,710,,3052
Ashburton,2,1575000,11,3147,2,1,2,679,,3052
Ashburton,3,1555000,11,3147,3,2,2,731,149,3052
Ashburton,3,1100000,11,3147,3,3,2,276,178,3052
Ashburton,3,1337000,11,3147,3,1,2,583,112,3052
Ashburton,8,2950000,11,3147,9,7,4,1472,618,3052
Ashburton,4,2215000,11,3147,4,2,1,681,,3052
Ashburton,3,1518000,11,3147,3,2,2,516,145,3052
Ashburton,3,1710000,11,3147,3,1,2,806,101,3052
Ashburton,3,1655000,11,3147,3,1,3,780,152,3052
Ashburton,4,1550000,11,3147,4,2,2,780,180,3052
Ashburton,3,1662000,11,3147,3,2,2,351,228,3052
Ashburton,3,1665000,11,3147,3,2,3,702,145,3052
Ashburton,2,1445000,11,3147,2,1,2,704,,3052
Ashburton,5,3510000,11,3147,5,5,2,755,444,3052
Ashburton,3,968000,11,3147,3,1,1,227,,3052
Ashburton,3,900000,11,3147,3,2,2,153,110,3052
Ashburton,3,1500000,11,3147,3,1,2,545,,3052
Ashburton,5,2752000,11,3147,6,4,2,1075,390,3052
Ashburton,3,1500000,11,3147,3,2,2,710,139,3052
Ashburton,4,1800000,11,3147,4,2,4,749,206,3052
Ashburton,3,1830000,11,3147,3,2,3,724,168,3052
Ashburton,3,1415000,11,3147,3,1,1,605,111,3052
Ashburton,2,1440000,11,3147,2,1,1,687,104,3052
Ashburton,4,1250000,11,3147,4,2,2,321,199,3052
Ashburton,3,1422000,11,3147,3,1,2,583,,3052
Ashburton,5,1600000,11,3147,5,3,4,700,266,3052
Ashburton,4,1860000,11,3147,4,2,3,696,274,3052
Ashburton,3,1710000,11,3147,3,2,2,295,,3052
Ashburton,4,1790000,11,3147,4,2,2,514,240,3052
Ashburton,4,1950000,11,3147,4,2,2,844,278,3052
Ashburton,3,1600000,11,3147,3,1,2,637,,3052
Ashburton,3,1320000,11,3147,3,1,2,1063,,3052
Ashburton,3,1650000,11,3147,3,1,1,697,164,3052
Ashwood,2,995000,12.2,3147,2,1,1,583,,2894
Ashwood,3,1250000,12.2,3147,3,1,1,842,,2894
Ashwood,3,1045000,12.2,3147,3,2,2,467,,2894
Ashwood,4,1200000,12.2,3147,4,3,2,372,201,2894
Ashwood,2,1075000,12.2,3147,2,1,2,695,114,2894
Ashwood,4,1500000,12.2,3147,2,2,2,621,203,2894
Ashwood,3,1120000,12.2,3147,3,1,2,723,,2894
Ashwood,2,700000,12.2,3147,2,1,2,367,110,2894
Ashwood,3,761000,12.2,3147,3,2,4,400,94,2894
Ashwood,4,1270000,12.2,3147,4,2,1,724,,2894
Ashwood,4,1510000,12.2,3147,4,2,2,526,,2894
Ashwood,3,1365000,12.2,3147,3,1,1,792,792,2894
Ashwood,4,1100000,12.2,3147,3,2,2,803,152,2894
Ashwood,4,1415000,12.2,3147,4,3,2,724,,2894
Ashwood,2,690000,12.2,3147,2,1,1,216,90,2894
Ashwood,3,1631000,12.2,3147,3,2,3,782,215,2894
Ashwood,4,1500000,12.2,3147,4,2,1,593,255,2894
Ashwood,3,1060000,12.2,3147,2,1,2,772,,2894
Ashwood,5,1529500,12.2,3147,5,3,2,585,317,2894
Ashwood,2,600000,12.2,3147,2,1,1,153,80,2894
Ashwood,2,535000,12.2,3147,2,1,1,72,,2894
Ashwood,3,785000,12.2,3147,3,1,1,557,,2894
Ashwood,4,1240000,12.2,3147,4,2,2,766,192,2894
Ashwood,2,700000,12.2,3147,2,1,2,192,88,2894
Ashwood,4,1350000,12.2,3147,4,2,1,727,,2894
Ashwood,2,1110000,12.2,3147,2,1,1,586,86,2894
Ashwood,3,1305000,12.2,3147,3,1,1,760,120,2894
Ashwood,3,855000,12.2,3147,3,2,1,320,85,2894
Ashwood,3,900500,12.2,3147,3,2,2,256,134,2894
Ashwood,3,1200000,12.2,3147,3,2,2,839,198,2894
Ashwood,3,830000,12.2,3147,2,1,2,212,130,2894
Avondale Heights,3,850000,10.5,3034,3,1,1,593,118,4502
Avondale Heights,3,750000,10.5,3034,3,1,1,0,103,4502
Avondale Heights,3,851000,10.5,3034,3,3,1,557,181,4502
Avondale Heights,3,848000,10.5,3034,3,1,2,542,,4502
Avondale Heights,4,806000,10.5,3034,4,2,1,350,,4502
Avondale Heights,4,1155000,10.5,3034,3,2,2,569,225,4502
Avondale Heights,3,670000,10.5,3034,3,2,2,671,,4502
Avondale Heights,4,1200000,10.5,3034,4,5,4,673,,4502
Avondale Heights,3,636000,10.5,3034,2,1,2,571,,4502
Avondale Heights,3,680000,10.5,3034,3,1,2,570,120,4502
